Order_ID,Order_Date,Region,Product,Units_Sold,Unit_Price,Sales_Amount,Stock_Available,Marketing_Spend
1121,2023-08-01,East,Mobile,274,25000,6850000,215,10190
1122,2023-08-01,East,Tablet,262,18000,4716000,260,29778
1123,2023-08-01,East,Headphones,177,3000,531000,117,44584
1124,2023-08-01,West,Laptop,283,45000,12735000,322,33093
1125,2023-08-01,West,Mobile,107,25000,2675000,422,44663
1126,2023-08-01,West,Tablet,223,18000,4014000,379,17455
1127,2023-08-01,West,Headphones,224,3000,672000,441,28070
1128,2023-09-01,North,Laptop,243,45000,10935000,226,26538
1129,2023-09-01,North,Mobile,283,25000,7075000,485,10784
1130,2023-09-01,North,Tablet,153,18000,2754000,492,22533
1131,2023-09-01,North,Headphones,225,3000,675000,138,15801
1132,2023-09-01,South,Laptop,296,45000,13320000,125,48754
1133,2023-09-01,South,Mobile,99,25000,2475000,112,33355
1134,2023-09-01,South,Tablet,299,18000,5382000,490,34376
1135,2023-09-01,South,Headphones,85,3000,255000,272,12368
1136,2023-09-01,East,Laptop,57,45000,2565000,499,20893
1137,2023-09-01,East,Mobile,253,25000,6325000,470,23403
1138,2023-09-01,East,Tablet,147,18000,2646000,421,20966
1139,2023-09-01,East,Headphones,240,3000,720000,441,38312
1140,2023-09-01,West,Laptop,235,45000,10575000,162,32677
1141,2023-09-01,West,Mobile,107,25000,2675000,157,41024
1142,2023-09-01,West,Tablet,229,18000,4122000,269,39749
1143,2023-09-01,West,Headphones,284,3000,852000,200,24599
1144,2023-10-01,North,Laptop,102,45000,4590000,159,13051
1145,2023-10-01,North,Mobile,157,25000,3925000,104,31606
1146,2023-10-01,North,Tablet,245,18000,4410000,361,10876
1147,2023-10-01,North,Headphones,273,3000,819000,471,42093
1148,2023-10-01,South,Laptop,96,45000,4320000,454,49734
1149,2023-10-01,South,Mobile,217,25000,5425000,407,49567
1150,2023-10-01,South,Tablet,62,18000,1116000,469,27019
1151,2023-10-01,South,Headphones,155,3000,465000,257,36258
1152,2023-10-01,East,Laptop,194,45000,8730000,219,27214
1153,2023-10-01,East,Mobile,68,25000,1700000,191,47945
1154,2023-10-01,East,Tablet,232,18000,4176000,445,35316
1155,2023-10-01,East,Headphones,267,3000,801000,216,15949
1156,2023-10-01,West,Laptop,72,45000,3240000,226,33944
1157,2023-10-01,West,Mobile,189,25000,4725000,228,11081
1158,2023-10-01,West,Tablet,171,18000,3078000,100,17805
1159,2023-10-01,West,Headphones,167,3000,501000,147,30056
1160,2023-11-01,North,Laptop,281,45000,12645000,336,13343
1161,2023-11-01,North,Mobile,238,25000,5950000,291,19662
1162,2023-11-01,North,Tablet,118,18000,2124000,377,18130
1163,2023-11-01,North,Headphones,125,3000,375000,253,11679
1164,2023-11-01,South,Laptop,228,45000,10260000,185,29128
1165,2023-11-01,South,Mobile,78,25000,1950000,319,23296
1166,2023-11-01,South,Tablet,143,18000,2574000,337,23245
1167,2023-11-01,South,Headphones,293,3000,879000,303,45247
1168,2023-11-01,East,Laptop,134,45000,6030000,138,36211
1169,2023-11-01,East,Mobile,82,25000,2050000,353,47220
1170,2023-11-01,East,Tablet,72,18000,1296000,349,33049
1171,2023-11-01,East,Headphones,295,3000,885000,424,41843
1172,2023-11-01,West,Laptop,83,45000,3735000,279,33289
1173,2023-11-01,West,Mobile,196,25000,4900000,195,19540
1174,2023-11-01,West,Tablet,286,18000,5148000,103,37663
1175,2023-11-01,West,Headphones,73,3000,219000,435,48646
1176,2023-12-01,North,Laptop,51,45000,2295000,483,32687
1177,2023-12-01,North,Mobile,268,25000,6700000,439,28071
1178,2023-12-01,North,Tablet,189,18000,3402000,277,21938
1179,2023-12-01,North,Headphones,173,3000,519000,132,14000
1180,2023-12-01,South,Laptop,238,45000,10710000,278,38074
1181,2023-12-01,South,Mobile,150,25000,3750000,367,42320
1182,2023-12-01,South,Tablet,210,18000,3780000,267,13913
1183,2023-12-01,South,Headphones,92,3000,276000,143,30764
1184,2023-12-01,East,Laptop,190,45000,8550000,111,48494
1185,2023-12-01,East,Mobile,95,25000,2375000,485,41996
1186,2023-12-01,East,Tablet,292,18000,5256000,341,44850
1187,2023-12-01,East,Headphones,264,3000,792000,436,38761
1188,2023-12-01,West,Laptop,57,45000,2565000,192,25305
1189,2023-12-01,West,Mobile,139,25000,3475000,214,30358
1190,2023-12-01,West,Tablet,245,18000,4410000,413,34052
1191,2023-12-01,West,Headphones,163,3000,489000,174,10412
1192,2024-01-01,North,Laptop,169,45000,7605000,316,33548
1193,2024-01-01,North,Mobile,298,25000,7450000,263,48756
1194,2024-01-01,North,Tablet,250,18000,4500000,291,27506
1195,2024-01-01,North,Headphones,289,3000,867000,135,47841
1196,2024-01-01,South,Laptop,290,45000,13050000,195,33190
1197,2024-01-01,South,Mobile,239,25000,5975000,323,46208
1198,2024-01-01,South,Tablet,232,18000,4176000,112,12914
1199,2024-01-01,South,Headphones,154,3000,462000,385,24397
1200,2024-01-01,East,Laptop,133,45000,5985000,467,10728
1201,2024-01-01,East,Mobile,135,25000,3375000,496,10698
1202,2024-01-01,East,Tablet,68,18000,1224000,276,23923
1203,2024-01-01,East,Headphones,189,3000,567000,332,34466
1204,2024-01-01,West,Laptop,125,45000,5625000,364,45270
1205,2024-01-01,West,Mobile,77,25000,1925000,305,42307
1206,2024-01-01,West,Tablet,132,18000,2376000,466,18335
1207,2024-01-01,West,Headphones,166,3000,498000,168,47259
1208,2024-02-01,North,Laptop,74,45000,3330000,478,31972
1209,2024-02-01,North,Mobile,277,25000,6925000,152,11167
1210,2024-02-01,North,Tablet,106,18000,1908000,138,28540
1211,2024-02-01,North,Headphones,230,3000,690000,141,31689
1212,2024-02-01,South,Laptop,216,45000,9720000,497,47497
1213,2024-02-01,South,Mobile,182,25000,4550000,262,48102
1214,2024-02-01,South,Tablet,270,18000,4860000,334,34394
1215,2024-02-01,South,Headphones,195,3000,585000,338,16731
1216,2024-02-01,East,Laptop,58,45000,2610000,173,27337
1217,2024-02-01,East,Mobile,285,25000,7125000,352,11542
1218,2024-02-01,East,Tablet,223,18000,4014000,240,49081
1219,2024-02-01,East,Headphones,186,3000,558000,382,29065
1220,2024-02-01,West,Laptop,243,45000,10935000,104,32556
1221,2024-02-01,West,Mobile,214,25000,5350000,438,38295
1222,2024-02-01,West,Tablet,289,18000,5202000,464,36432
1223,2024-02-01,West,Headphones,135,3000,405000,244,47080
1224,2024-03-01,North,Laptop,94,45000,4230000,231,45909
1225,2024-03-01,North,Mobile,208,25000,5200000,374,16588
1226,2024-03-01,North,Tablet,157,18000,2826000,281,36790
1227,2024-03-01,North,Headphones,140,3000,420000,301,38178
1228,2024-03-01,South,Laptop,88,45000,3960000,225,30652
1229,2024-03-01,South,Mobile,190,25000,4750000,341,19435
1230,2024-03-01,South,Tablet,175,18000,3150000,157,40355
1231,2024-03-01,South,Headphones,269,3000,807000,416,35470
1232,2024-03-01,East,Laptop,154,45000,6930000,100,49298
1233,2024-03-01,East,Mobile,254,25000,6350000,447,10504
1234,2024-03-01,East,Tablet,240,18000,4320000,468,33960
1235,2024-03-01,East,Headphones,105,3000,315000,216,12105
1236,2024-03-01,West,Laptop,93,45000,4185000,272,32700
1237,2024-03-01,West,Mobile,110,25000,2750000,402,30559
1238,2024-03-01,West,Tablet,167,18000,3006000,312,21003
1239,2024-03-01,West,Headphones,278,3000,834000,263,35826
1240,2024-04-01,North,Laptop,196,45000,8820000,119,16190
1241,2024-04-01,North,Mobile,282,25000,7050000,404,48413
1242,2024-04-01,North,Tablet,192,18000,3456000,100,13330
1243,2024-04-01,North,Headphones,193,3000,579000,111,44121
1244,2024-04-01,South,Laptop,273,45000,12285000,371,31447
1245,2024-04-01,South,Mobile,151,25000,3775000,255,39703
1246,2024-04-01,South,Tablet,171,18000,3078000,447,46487
1247,2024-04-01,South,Headphones,235,3000,705000,415,41921
1248,2024-04-01,East,Laptop,77,45000,3465000,319,47732
1249,2024-04-01,East,Mobile,90,25000,2250000,327,30159
1250,2024-04-01,East,Tablet,204,18000,3672000,244,48088
1251,2024-04-01,East,Headphones,210,3000,630000,311,45547
1252,2024-04-01,West,Laptop,289,45000,13005000,496,44349
1253,2024-04-01,West,Mobile,84,25000,2100000,352,15713
1254,2024-04-01,West,Tablet,164,18000,2952000,355,14804
1255,2024-04-01,West,Headphones,96,3000,288000,109,29255
1256,2024-05-01,North,Laptop,79,45000,3555000,341,39548
1257,2024-05-01,North,Mobile,54,25000,1350000,218,11015
1258,2024-05-01,North,Tablet,82,18000,1476000,473,37712
1259,2024-05-01,North,Headphones,195,3000,585000,323,33833
1260,2024-05-01,South,Laptop,112,45000,5040000,316,30309
1261,2024-05-01,South,Mobile,108,25000,2700000,382,31168
1262,2024-05-01,South,Tablet,254,18000,4572000,197,20344
1263,2024-05-01,South,Headphones,148,3000,444000,484,10404
1264,2024-05-01,East,Laptop,289,45000,13005000,410,39189
1265,2024-05-01,East,Mobile,269,25000,6725000,296,42606
1266,2024-05-01,East,Tablet,182,18000,3276000,457,25106
1267,2024-05-01,East,Headphones,230,3000,690000,122,33524
1268,2024-05-01,West,Laptop,102,45000,4590000,264,14809
1269,2024-05-01,West,Mobile,251,25000,6275000,182,23456
1270,2024-05-01,West,Tablet,134,18000,2412000,177,48765
1271,2024-05-01,West,Headphones,50,3000,150000,150,27100
1272,2024-06-01,North,Laptop,53,45000,2385000,468,36657
1273,2024-06-01,North,Mobile,141,25000,3525000,194,17239
1274,2024-06-01,North,Tablet,88,18000,1584000,253,38538
1275,2024-06-01,North,Headphones,99,3000,297000,367,18427
1276,2024-06-01,South,Laptop,182,45000,8190000,321,47626
1277,2024-06-01,South,Mobile,106,25000,2650000,211,29198
1278,2024-06-01,South,Tablet,96,18000,1728000,306,11252
1279,2024-06-01,South,Headphones,134,3000,402000,497,47441
1280,2024-06-01,East,Laptop,124,45000,5580000,202,25781
1281,2024-06-01,East,Mobile,241,25000,6025000,351,49649
1282,2024-06-01,East,Tablet,87,18000,1566000,405,18017
1283,2024-06-01,East,Headphones,79,3000,237000,434,33386
1284,2024-06-01,West,Laptop,228,45000,10260000,407,38920
1285,2024-06-01,West,Mobile,215,25000,5375000,434,14637
1286,2024-06-01,West,Tablet,296,18000,5328000,205,47660
1287,2024-06-01,West,Headphones,181,3000,543000,237,29856
1288,2024-07-01,North,Laptop,123,45000,5535000,372,29963
1289,2024-07-01,North,Mobile,133,25000,3325000,168,37169
1290,2024-07-01,North,Tablet,55,18000,990000,152,15569
1291,2024-07-01,North,Headphones,254,3000,762000,225,46586
1292,2024-07-01,South,Laptop,92,45000,4140000,339,16254
1293,2024-07-01,South,Mobile,298,25000,7450000,250,25183
1294,2024-07-01,South,Tablet,144,18000,2592000,473,32415
1295,2024-07-01,South,Headphones,57,3000,171000,487,28271
1296,2024-07-01,East,Laptop,244,45000,10980000,254,14188
1297,2024-07-01,East,Mobile,209,25000,5225000,160,21314
1298,2024-07-01,East,Tablet,196,18000,3528000,376,31508
1299,2024-07-01,East,Headphones,259,3000,777000,191,47545
1300,2024-07-01,West,Laptop,110,45000,4950000,121,23716
1301,2024-07-01,West,Mobile,119,25000,2975000,100,49144
1302,2024-07-01,West,Tablet,61,18000,1098000,445,37693
1303,2024-07-01,West,Headphones,83,3000,249000,177,36329
1304,2024-08-01,North,Laptop,94,45000,4230000,172,33321
1305,2024-08-01,North,Mobile,298,25000,7450000,146,15240
1306,2024-08-01,North,Tablet,263,18000,4734000,338,29262
1307,2024-08-01,North,Headphones,97,3000,291000,160,14432
1308,2024-08-01,South,Laptop,75,45000,3375000,391,23568
1309,2024-08-01,South,Mobile,57,25000,1425000,212,24178
1310,2024-08-01,South,Tablet,229,18000,4122000,306,10302
1311,2024-08-01,South,Headphones,176,3000,528000,155,18717
1312,2024-08-01,East,Laptop,267,45000,12015000,127,18150
1313,2024-08-01,East,Mobile,127,25000,3175000,315,26748
1314,2024-08-01,East,Tablet,203,18000,3654000,113,25034
1315,2024-08-01,East,Headphones,105,3000,315000,470,15126
1316,2024-08-01,West,Laptop,52,45000,2340000,210,27302
1317,2024-08-01,West,Mobile,287,25000,7175000,462,48638
1318,2024-08-01,West,Tablet,286,18000,5148000,373,33333
1319,2024-08-01,West,Headphones,276,3000,828000,470,45854
1320,2024-09-01,North,Laptop,241,45000,10845000,218,20267
1321,2024-09-01,North,Mobile,251,25000,6275000,138,39926
1322,2024-09-01,North,Tablet,135,18000,2430000,225,14632
1323,2024-09-01,North,Headphones,194,3000,582000,112,16168
1324,2024-09-01,South,Laptop,117,45000,5265000,493,18258
1325,2024-09-01,South,Mobile,282,25000,7050000,208,36734
1326,2024-09-01,South,Tablet,277,18000,4986000,210,36069
1327,2024-09-01,South,Headphones,83,3000,249000,210,17943
1328,2024-09-01,East,Laptop,217,45000,9765000,468,33275
1329,2024-09-01,East,Mobile,132,25000,3300000,141,45240
1330,2024-09-01,East,Tablet,150,18000,2700000,105,29123
1331,2024-09-01,East,Headphones,75,3000,225000,419,44529
1332,2024-09-01,West,Laptop,236,45000,10620000,414,27260
1333,2024-09-01,West,Mobile,247,25000,6175000,328,38024
1334,2024-09-01,West,Tablet,82,18000,1476000,249,36900
1335,2024-09-01,West,Headphones,247,3000,741000,169,15622
1336,2024-10-01,North,Laptop,161,45000,7245000,103,21613
1337,2024-10-01,North,Mobile,124,25000,3100000,417,20589
1338,2024-10-01,North,Tablet,144,18000,2592000,251,37446
1339,2024-10-01,North,Headphones,186,3000,558000,346,34818
1340,2024-10-01,South,Laptop,80,45000,3600000,139,14324
1341,2024-10-01,South,Mobile,85,25000,2125000,322,26389
1342,2024-10-01,South,Tablet,115,18000,2070000,319,38746
1343,2024-10-01,South,Headphones,53,3000,159000,434,10117
1344,2024-10-01,East,Laptop,162,45000,7290000,193,28935
1345,2024-10-01,East,Mobile,279,25000,6975000,161,48328
1346,2024-10-01,East,Tablet,243,18000,4374000,434,20954
1347,2024-10-01,East,Headphones,185,3000,555000,125,32700
1348,2024-10-01,West,Laptop,93,45000,4185000,232,16469
1349,2024-10-01,West,Mobile,203,25000,5075000,217,36386
1350,2024-10-01,West,Tablet,261,18000,4698000,324,46976
1351,2024-10-01,West,Headphones,189,3000,567000,146,12048
1352,2024-11-01,North,Laptop,139,45000,6255000,241,11828
1353,2024-11-01,North,Mobile,175,25000,4375000,238,42254
1354,2024-11-01,North,Tablet,149,18000,2682000,432,30128
1355,2024-11-01,North,Headphones,183,3000,549000,277,10009
1356,2024-11-01,South,Laptop,54,45000,2430000,237,12219
1357,2024-11-01,South,Mobile,179,25000,4475000,112,15287
1358,2024-11-01,South,Tablet,179,18000,3222000,183,18512
1359,2024-11-01,South,Headphones,112,3000,336000,200,29216
1360,2024-11-01,East,Laptop,58,45000,2610000,498,24231
1361,2024-11-01,East,Mobile,87,25000,2175000,193,27988
1362,2024-11-01,East,Tablet,111,18000,1998000,335,11908
1363,2024-11-01,East,Headphones,169,3000,507000,236,29019
1364,2024-11-01,West,Laptop,276,45000,12420000,134,15415
1365,2024-11-01,West,Mobile,113,25000,2825000,159,15951
1366,2024-11-01,West,Tablet,142,18000,2556000,427,40523
1367,2024-11-01,West,Headphones,79,3000,237000,390,31204
1368,2024-12-01,North,Laptop,214,45000,9630000,104,29282
1369,2024-12-01,North,Mobile,172,25000,4300000,177,30611
1370,2024-12-01,North,Tablet,138,18000,2484000,336,27449
1371,2024-12-01,North,Headphones,138,3000,414000,395,19510
1372,2024-12-01,South,Laptop,153,45000,6885000,113,49711
1373,2024-12-01,South,Mobile,228,25000,5700000,224,16565
1374,2024-12-01,South,Tablet,146,18000,2628000,122,47438
1375,2024-12-01,South,Headphones,192,3000,576000,252,12192
1376,2024-12-01,East,Laptop,274,45000,12330000,408,46455
1377,2024-12-01,East,Mobile,153,25000,3825000,138,11970
1378,2024-12-01,East,Tablet,247,18000,4446000,233,37202
1379,2024-12-01,East,Headphones,184,3000,552000,278,34519
1380,2024-12-01,West,Laptop,91,45000,4095000,114,15788
1381,2024-12-01,West,Mobile,82,25000,2050000,330,10922
1382,2024-12-01,West,Tablet,213,18000,3834000,256,20789
1383,2024-12-01,West,Headphones,234,3000,702000,196,42154
